x,y,z
0,0,0.040966583
0.001,0,0.027568119
0.002,0,0.024013168
0.003,0,0.024541638
0.004,0,0.025949514
0.005,0,0.027172208
0.006,0,0.027722343
0.007,0,0.028182792
0.008,0,0.028592393
0.009,0,0.02888834
0.01,0,0.029456855
0.011,0,0.029868712
0.012,0,0.03016208
0.013,0,0.030465235
0.014,0,0.030352674
0.015,0,0.029603826
0.016,0,0.028370409
0.017,0,0.026645241
0.018,0,0.024423506
0.019,0,0.022757134
0.02,0,0.02072052
0,0.001,0.038578184
0.001,0.001,0.030998111
0.002,0.001,0.031057614
0.003,0.001,0.033071387
0.004,0.001,0.034678775
0.005,0.001,0.035464948
0.006,0.001,0.035736261
0.007,0.001,0.035728302
0.008,0.001,0.035459951
0.009,0.001,0.035188784
0.01,0.001,0.035473901
0.011,0.001,0.036258863
0.012,0.001,0.037253801
0.013,0.001,0.038140241
0.014,0.001,0.038461814
0.015,0.001,0.037939096
0.016,0.001,0.036596423
0.017,0.001,0.034261596
0.018,0.001,0.031263858
0.019,0.001,0.028994228
0.02,0.001,0.026239193
0,0.002,0.036189784
0.001,0.002,0.034428102
0.002,0.002,0.03810206
0.003,0.002,0.041601135
0.004,0.002,0.043408035
0.005,0.002,0.043757688
0.006,0.002,0.043750179
0.007,0.002,0.043273812
0.008,0.002,0.042327509
0.009,0.002,0.041489228
0.01,0.002,0.041490948
0.011,0.002,0.042649014
0.012,0.002,0.044345522
0.013,0.002,0.045815247
0.014,0.002,0.046570955
0.015,0.002,0.046274366
0.016,0.002,0.044822435
0.017,0.002,0.041877951
0.018,0.002,0.038104209
0.019,0.002,0.035231321
0.02,0.002,0.031757864
0,0.003,0.046223121
0.001,0.003,0.045182607
0.002,0.003,0.049975577
0.003,0.003,0.053990662
0.004,0.003,0.0559799
0.005,0.003,0.055955629
0.006,0.003,0.054730873
0.007,0.003,0.052804072
0.008,0.003,0.050859203
0.009,0.003,0.04932856
0.01,0.003,0.049222985
0.011,0.003,0.050897295
0.012,0.003,0.053409013
0.013,0.003,0.055714476
0.014,0.003,0.057272245
0.015,0.003,0.057583965
0.016,0.003,0.056166157
0.017,0.003,0.052629792
0.018,0.003,0.047905356
0.019,0.003,0.044238776
0.02,0.003,0.039866959
0,0.004,0.056256459
0.001,0.004,0.055937112
0.002,0.004,0.061849093
0.003,0.004,0.066380189
0.004,0.004,0.068551765
0.005,0.004,0.068153569
0.006,0.004,0.065711566
0.007,0.004,0.062334333
0.008,0.004,0.059390896
0.009,0.004,0.057167893
0.01,0.004,0.056955021
0.011,0.004,0.059145576
0.012,0.004,0.062472504
0.013,0.004,0.065613704
0.014,0.004,0.067973534
0.015,0.004,0.068893565
0.016,0.004,0.067509877
0.017,0.004,0.063381634
0.018,0.004,0.057706502
0.019,0.004,0.053246232
0.02,0.004,0.047976054
0,0.005,0.063350019
0.001,0.005,0.065250296
0.002,0.005,0.072695957
0.003,0.005,0.077818447
0.004,0.005,0.079694147
0.005,0.005,0.078754732
0.006,0.005,0.075635509
0.007,0.005,0.071427261
0.008,0.005,0.067558477
0.009,0.005,0.064949229
0.01,0.005,0.064876588
0.011,0.005,0.06719163
0.012,0.005,0.070884848
0.013,0.005,0.074950055
0.014,0.005,0.078219543
0.015,0.005,0.079632252
0.016,0.005,0.078255375
0.017,0.005,0.073743525
0.018,0.005,0.067287214
0.019,0.005,0.062012416
0.02,0.005,0.055949943
0,0.006,0.070443579
0.001,0.006,0.074563479
0.002,0.006,0.083542821
