x,y,z
0,0,0
0.2,0,0.058267558
0.4,0,0.061586442
0.6,0,0.064905326
0.8,0,0.06822421
1,0,0.071543094
1.2,0,0.07611197
1.4,0,0.080680846
1.6,0,0.085249721
1.8,0,0.089818597
2,0,0.094387473
2.2,0,0.095316142
2.4,0,0.09624481
2.6,0,0.097173479
2.8,0,0.098102147
3,0,0.099030816
3.2,0,0.097133981
3.4,0,0.095237146
3.6,0,0.093340311
3.8,0,0.091443476
4,0,0.089546641
4.2,0,0.087178106
4.4,0,0.084809571
4.6,0,0.082441037
4.8,0,0.080072502
5,0,0.077703967
5.2,0,0.076152508
5.4,0,0.07460105
5.6,0,0.073049591
5.8,0,0.071498133
6,0,0.069946674
6.2,0,0.068295389
6.4,0,0.066644105
6.6,0,0.06499282
6.8,0,0.063341536
7,0,0.061690251
7.2,0,0.061516823
7.4,0,0.061343395
7.6,0,0.061169966
7.8,0,0.060996538
8,0,0.06082311
8.2,0,0.062583251
8.4,0,0.064343392
8.6,0,0.066103533
8.8,0,0.067863674
9,0,0.069623815
9.2,0,0.071350589
9.4,0,0.073077363
9.6,0,0.074804136
9.8,0,0.07653091
10,0,0.078257684
10.2,0,0.08135029
10.4,0,0.084442897
10.6,0,0.087535503
10.8,0,0.09062811
11,0,0.093720716
11.2,0,0.097082121
11.4,0,0.100443525
11.6,0,0.10380493
11.8,0,0.107166334
12,0,0.110527739
12.2,0,0.110933194
12.4,0,0.111338648
12.6,0,0.111744103
12.8,0,0.112149557
13,0,0.112555012
13.2,0,0.109927388
13.4,0,0.107299765
13.6,0,0.104672141
13.8,0,0.102044518
14,0,0.099416894
14.2,0,0.098269852
14.4,0,0.09712281
14.6,0,0.095975769
14.8,0,0.094828727
15,0,0.093681685
15.2,0,0.091037203
15.4,0,0.088392721
15.6,0,0.085748238
15.8,0,0.083103756
16,0,0
0,0.2,0.058823263
0.2,0.2,0.062611308
0.4,0.2,0.066399354
0.6,0.2,0.070187399
0.8,0.2,0.073975445
1,0.2,0.07776349
1.2,0.2,0.082358829
1.4,0.2,0.086954167
1.6,0.2,0.091549505
1.8,0.2,0.096144843
2,0.2,0.100740182
2.2,0.2,0.101955066
2.4,0.2,0.10316995
2.6,0.2,0.104384834
2.8,0.2,0.105599718
3,0.2,0.106814602
3.2,0.2,0.105095693
3.4,0.2,0.103376785
3.6,0.2,0.101657877
3.8,0.2,0.099938968
4,0.2,0.09822006
4.2,0.2,0.09589476
4.4,0.2,0.09356946
4.6,0.2,0.09124416
4.8,0.2,0.08891886
5,0.2,0.086593561
5.2,0.2,0.084873595
5.4,0.2,0.08315363
5.6,0.2,0.081433665
5.8,0.2,0.0797137
6,0.2,0.077993735
6.2,0.2,0.076421407
6.4,0.2,0.074849078
6.6,0.2,0.07327675
6.8,0.2,0.071704422
7,0.2,0.070132094
7.2,0.2,0.069609181
7.4,0.2,0.069086268
7.6,0.2,0.068563356
7.8,0.2,0.068040443
8,0.2,0.067517531
8.2,0.2,0.068790769
8.4,0.2,0.070064007
8.6,0.2,0.071337245
8.8,0.2,0.072610483
9,0.2,0.073883721
9.2,0.2,0.075802907
9.4,0.2,0.077722093
9.6,0.2,0.07964128
9.8,0.2,0.081560466
10,0.2,0.083479652
10.2,0.2,0.086663116
10.4,0.2,0.08984658
10.6,0.2,0.093030044
10.8,0.2,0.096213508
11,0.2,0.099396972
11.2,0.2,0.102794459
11.4,0.2,0.106191947
11.6,0.2,0.109589434
11.8,0.2,0.112986921
12,0.2,0.116384409
12.2,0.2,0.117162476
12.4,0.2,0.117940544
12.6,0.2,0.118718611
12.8,0.2,0.119496679
13,0.2,0.120274746
13.2,0.2,0.117996471
13.4,0.2,0.115718196
13.6,0.2,0.11343992
13.8,0.2,0.111161645
14,0.2,0.10888337
14.2,0.2,0.107450398
14.4,0.2,0.106017427
14.6,0.2,0.104584455
14.8,0.2,0.103151484
15,0.2,0.101718512
15.2,0.2,0.09890327
